id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
752,"Origin","Dan Brown","Thriller","English",2017,"Doubleday","Langdon attends an event in Spain where a futurist plans to reveal a discovery that will change science.",461,"mystery,science,spain",3.83,"USA",TRUE,"None","Adult",FALSE,,"978-0385514231"
753,"The Shadow Rising","Robert Jordan","Fantasy","English",1992,"Tor Books","Rand al'Thor travels to the Aiel Waste to prove he is the true Dragon Reborn.",1001,"epic,desert,magic",4.27,"USA",TRUE,"None","Adult",TRUE,2021,"978-0312854317"
754,"The Fires of Heaven","Robert Jordan","Fantasy","English",1993,"Tor Books","Rand leads the Aiel out of the Waste to conquer the Westlands.",912,"epic,war,politics",4.23,"USA",TRUE,"None","Adult",TRUE,2021,"978-0312854270"
755,"Night Watch","Terry Pratchett","Fantasy","English",2002,"Doubleday","Commander Vimes is sent back in time to his own past in Ankh-Morpork.",480,"time travel,police,discworld",4.50,"UK",TRUE,"Prometheus Award","Adult",FALSE,,"978-0060013117"
756,"Thud!","Terry Pratchett","Fantasy","English",2005,"Doubleday","Tensions rise between dwarfs and trolls as the anniversary of a famous battle approaches.",373,"mystery,fantasy,discworld",4.33,"UK",TRUE,"None","Adult",FALSE,,"978-0060815308"
757,"The Moon Is a Harsh Mistress","Robert A. Heinlein","Sci-Fi","English",1966,"Putnam","A lunar colony revolts against Earth with the help of a supercomputer.",382,"politics,moon,revolution",4.16,"USA",TRUE,"Hugo Award","Adult",FALSE,,"978-0312863555"
758,"Fragile Things","Neil Gaiman","Short Stories","English",2006,"William Morrow","A collection of short stories and poetry involving Sherlock Holmes, the Matrix, and more.",360,"fantasy,horror,anthology",4.03,"UK",TRUE,"Locus Award","Adult",FALSE,,"978-0060515225"
759,"Elantris","Brandon Sanderson","Fantasy","English",2005,"Tor Books","A city of gods becomes a city of the damned, and a prince is exiled there.",638,"magic,zombies,politics",4.18,"USA",TRUE,"None","Adult",FALSE,,"978-0765350374"
760,"Warbreaker","Brandon Sanderson","Fantasy","English",2009,"Tor Books","Two sisters are entangled in the politics of a city ruled by living gods.",688,"magic,color,sisters",4.26,"USA",TRUE,"None","Adult",FALSE,,"978-0765320308"
761,"The Great Alone","Kristin Hannah","Historical Fiction","English",2018,"St. Martin's Press","A POW veteran moves his family to the harsh wilderness of Alaska to find peace.",440,"alaska,survival,family",4.34,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0312577230"
762,"The Four Winds","Kristin Hannah","Historical Fiction","English",2021,"St. Martin's Press","A woman must make a desperate choice to save her family during the Great Depression Dust Bowl.",464,"history,poverty,resilience",4.29,"USA",TRUE,"None","Adult",FALSE,,"978-1250178602"
763,"Bad Blood: Secrets and Lies in a Silicon Valley Startup","John Carreyrou","Non-fiction","English",2018,"Knopf","The rise and fall of Theranos and its founder Elizabeth Holmes.",339,"crime,business,tech",4.38,"USA",TRUE,"Financial Times Book of the Year","Adult",TRUE,2019,"978-1524731656"
764,"Empire of Pain","Patrick Radden Keefe","Non-fiction","English",2021,"Doubleday","The secret history of the Sackler dynasty and their role in the opioid crisis.",535,"history,business,crime",4.56,"USA",TRUE,"Baillie Gifford Prize","Adult",FALSE,,"978-0385545686"
765,"Say Nothing","Patrick Radden Keefe","Non-fiction","English",2018,"Doubleday","A true story of murder and memory in Northern Ireland during The Troubles.",441,"history,crime,ireland",4.49,"USA",TRUE,"Orwell Prize","Adult",FALSE,,"978-0385521314"
766,"The Spanish Love Deception","Elena Armas","Romance","English",2021,"Simon & Schuster","A woman fakes a relationship with her nemesis for a wedding in Spain.",482,"romance,fake dating,spain",3.92,"Spain",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1665912487"
767,"It Happened One Summer","Tessa Bailey","Romance","English",2021,"Avon","A Hollywood 'It Girl' is cut off and sent to run a dive bar in a fishing town.",397,"romance,schitt's creek,summer",4.07,"USA",TRUE,"None","Adult",FALSE,,"978-0063045651"
768,"The Unhoneymooners","Christina Lauren","Romance","English",2019,"Gallery Books","Two enemies must pretend to be a married couple on a free honeymoon trip.",400,"romance,enemies to lovers,humor",4.04,"USA",TRUE,"None","Adult",FALSE,,"978-1501128035"
769,"People We Meet on Vacation","Emily Henry","Romance","English",2021,"Berkley","Two best friends with opposite personalities take one last summer trip together.",364,"romance,friends to lovers,travel",4.03,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1984806758"
770,"Happy Place","Emily Henry","Romance","English",2023,"Berkley","A broken-up couple pretends to still be together for their friends' annual week at a cottage.",400,"romance,second chance,summer",4.16,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0593441275"
771,"Malibu Rising","Taylor Jenkins Reid","Historical Fiction","English",2021,"Ballantine","Four famous siblings throw an epic party in 1983 Malibu that ends in fire.",369,"family,drama,80s",4.07,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1524798659"
772,"Carrie Soto Is Back","Taylor Jenkins Reid","Fiction","English",2022,"Ballantine","A retired tennis player returns for one last slam to defend her record.",384,"sports,tennis,ambition",4.22,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0593356678"
773,"The Outsider","Stephen King","Horror","English",2018,"Scribner","An investigation into a gruesome murder leads to an impossible suspect.",561,"crime,horror,supernatural",3.98,"USA",TRUE,"Goodreads Choice Award","Adult",TRUE,2020,"978-1501180989"
774,"11/22/63","Stephen King","Sci-Fi","English",2011,"Scribner","A teacher travels back in time to prevent the assassination of John F. Kennedy.",849,"time travel,history,thriller",4.30,"USA",TRUE,"Locus Award","Adult",TRUE,2016,"978-1451627282"
775,"Under the Dome","Stephen King","Sci-Fi","English",2009,"Scribner","An invisible force field seals off a small town in Maine.",1074,"sci-fi,survival,politics",3.92,"USA",TRUE,"None","Adult",TRUE,2013,"978-1439148501"
776,"Bag of Bones","Stephen King","Horror","English",1998,"Scribner","A grieving writer is haunted by ghosts at his summer home.",529,"ghosts,mystery,romance",3.90,"USA",TRUE,"Bram Stoker Award","Adult",TRUE,2011,"978-0684853505"
777,"Needful Things","Stephen King","Horror","English",1991,"Viking","A new shop opens in Castle Rock, selling customers exactly what they desire for a price.",690,"horror,small town,chaos",3.93,"USA",TRUE,"None","Adult",TRUE,1993,"978-0670839537"
778,"Christine","Stephen King","Horror","English",1983,"Viking","A teenager buys a vintage car that has an evil mind of its own.",526,"horror,cars,classic",3.79,"USA",TRUE,"None","Adult",TRUE,1983,"978-0670220267"
779,"The Giving Tree","Shel Silverstein","Children's Fiction","English",1964,"Harper & Row","A parable about the relationship between a boy and a tree.",64,"classic,picture book,sad",4.37,"USA",TRUE,"None","Children",FALSE,,"978-0060256654"
780,"Where the Sidewalk Ends","Shel Silverstein","Poetry","English",1974,"Harper & Row","A collection of humorous and whimsical poems and drawings.",166,"poetry,humor,kids",4.30,"USA",TRUE,"None","Children",FALSE,,"978-0060256678"
781,"Corduroy","Don Freeman","Children's Fiction","English",1968,"Viking","A teddy bear in a department store searches for his missing button.",32,"classic,bears,friendship",4.29,"USA",TRUE,"None","Children",TRUE,1984,"978-0670241330"
782,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst","Children's Fiction","English",1972,"Atheneum","A boy has a day where everything goes wrong.",32,"classic,humor,kids",4.22,"USA",TRUE,"None","Children",TRUE,2014,"978-0689714346"
783,"Madeline","Ludwig Bemelmans","Children's Fiction","English",1939,"Simon & Schuster","A story about a brave girl in a Catholic boarding school in Paris.",44,"paris,classic,rhyme",4.14,"France",TRUE,"Caldecott Honor","Children",TRUE,1998,"978-0140564393"
784,"Curious George","H.A. Rey","Children's Fiction","English",1941,"Houghton Mifflin","A monkey is brought from Africa to the city by the Man with the Yellow Hat.",64,"classic,animals,monkey",4.13,"USA",TRUE,"None","Children",TRUE,2006,"978-0395159934"
785,"Cloudy with a Chance of Meatballs","Judi Barrett","Children's Fiction","English",1978,"Atheneum","A town where food falls from the sky like weather.",32,"classic,food,humor",4.20,"USA",TRUE,"None","Children",TRUE,2009,"978-0689306473"
786,"The Spy and the Traitor","Ben Macintyre","Non-fiction","English",2018,"Viking","The true story of Oleg Gordievsky, a KGB double agent for MI6.",384,"spy,cold war,history",4.54,"UK",TRUE,"Baillie Gifford Shortlist","Adult",FALSE,,"978-1101904190"
787,"Operation Mincemeat","Ben Macintyre","Non-fiction","English",2010,"Bloomsbury","A WWII deception operation involving a dead body and fake documents.",400,"war,history,spy",4.32,"UK",TRUE,"None","Adult",TRUE,2021,"978-1408809211"
788,"The Likeness","Tana French","Mystery","English",2008,"Viking","A detective goes undercover as a victim who looks exactly like her.",466,"crime,ireland,undercover",4.07,"Ireland",TRUE,"None","Adult",TRUE,2019,"978-0143115625"
789,"Faithful Place","Tana French","Mystery","English",2010,"Viking","A detective discovers his childhood sweetheart's suitcase in an old house 22 years after she vanished.",400,"crime,ireland,family",4.06,"Ireland",TRUE,"None","Adult",TRUE,2019,"978-0143119494"
790,"Gone Baby Gone","Dennis Lehane","Thriller","English",1998,"William Morrow","Private investigators search for a missing four-year-old girl in Boston.",414,"crime,boston,kidnap",4.13,"USA",TRUE,"None","Adult",TRUE,2007,"978-0062068408"
791,"The Girl Who Kicked the Hornet's Nest","Stieg Larsson","Crime","English",2007,"Norstedts","Lisbeth Salander fights for her life and justice against a secret government section.",563,"hacker,sweden,conspiracy",4.22,"Sweden",TRUE,"None","Adult",TRUE,2009,"978-0307454560"
792,"Before the Fall","Noah Hawley","Thriller","English",2016,"Grand Central","A private plane crashes, leaving only two survivors, raising questions about what happened.",400,"mystery,survival,media",3.73,"USA",TRUE,"Edgar Award","Adult",FALSE,,"978-1455561780"
793,"The Snowman","Jo Nesbø","Crime","Norwegian",2007,"Aschehoug","Detective Harry Hole hunts a serial killer who builds snowmen at crime scenes.",383,"crime,norway,serial killer",4.03,"Norway",TRUE,"None","Adult",TRUE,2017,"978-0307595861"
794,"The Redbreast","Jo Nesbø","Crime","Norwegian",2000,"Aschehoug","Harry Hole investigates a rare rifle that points to a neo-Nazi conspiracy.",518,"crime,norway,history",4.00,"Norway",TRUE,"Glass Key Award","Adult",FALSE,,"978-0062266859"
795,"Headhunters","Jo Nesbø","Thriller","Norwegian",2008,"Aschehoug","A corporate headhunter steals art to fund his lavish lifestyle but picks the wrong target.",304,"crime,heist,norway",3.84,"Norway",TRUE,"None","Adult",TRUE,2011,"978-0307957184"
796,"Magpie Murders","Anthony Horowitz","Mystery","English",2016,"Orion","An editor reads a manuscript that contains a hidden real-life mystery.",496,"mystery,meta,whodunit",4.11,"UK",TRUE,"None","Adult",TRUE,2022,"978-0062645227"
797,"The Word Is Murder","Anthony Horowitz","Mystery","English",2017,"Century","The author Anthony Horowitz inserts himself into the story to solve a murder.",390,"mystery,meta,sherlock",4.05,"UK",TRUE,"None","Adult",FALSE,,"978-0062676788"
798,"The House of Silk","Anthony Horowitz","Mystery","English",2011,"Orion","A new Sherlock Holmes novel authorized by the Conan Doyle estate.",294,"mystery,sherlock,pastiche",3.99,"UK",TRUE,"None","Adult",FALSE,,"978-0316196994"
799,"Moriarty","Anthony Horowitz","Mystery","English",2014,"Orion","A Pinkerton agent and a Scotland Yard inspector hunt for Moriarty's successor.",285,"mystery,sherlock,villain",3.75,"UK",TRUE,"None","Adult",FALSE,,"978-0062377180"
800,"Nine Perfect Strangers","Liane Moriarty","Thriller","English",2018,"Pan Macmillan","Nine strangers gather at a remote health resort that isn't what it seems.",451,"mystery,resort,wellness",3.49,"Australia",TRUE,"Goodreads Choice Nominee","Adult",TRUE,2021,"978-1250069825"
801,"Tell No One","Harlan Coben","Thriller","English",2001,"Delacorte","A pediatrician receives a video showing his wife, who was murdered eight years ago, is still alive.",339,"mystery,twist,romance",4.13,"USA",TRUE,"None","Adult",TRUE,2006,"978-0440245902"
802,"The Stranger","Harlan Coben","Thriller","English",2015,"Dutton","A stranger approaches a man and reveals a shocking secret about his wife.",386,"mystery,secrets,family",3.96,"USA",TRUE,"None","Adult",TRUE,2020,"978-0525953500"
803,"The Lincoln Lawyer","Michael Connelly","Crime","English",2005,"Little, Brown","A criminal defense attorney operates out of the back of his Lincoln Town Car.",404,"legal,crime,los angeles",4.18,"USA",TRUE,"Shamus Award","Adult",TRUE,2011,"978-0316734938"
804,"The Black Echo","Michael Connelly","Crime","English",1992,"Little, Brown","Detective Harry Bosch discovers a dead body in a drainpipe that links to a bank robbery.",482,"crime,detective,noir",4.14,"USA",TRUE,"Edgar Award","Adult",TRUE,2014,"978-0316069434"
805,"The Poet","Michael Connelly","Thriller","English",1996,"Little, Brown","A reporter investigates the suicide of his brother and uncovers a serial killer targeting cops.",448,"crime,serial killer,mystery",4.26,"USA",TRUE,"Anthony Award","Adult",FALSE,,"978-0446602617"
806,"Along Came a Spider","James Patterson","Thriller","English",1993,"Little, Brown","Detective Alex Cross hunts a serial kidnapper who has taken two children.",435,"crime,detective,suspense",4.09,"USA",TRUE,"None","Adult",TRUE,2001,"978-0446364195"
807,"Kiss the Girls","James Patterson","Thriller","English",1995,"Little, Brown","Alex Cross investigates a series of kidnappings in North Carolina.",464,"crime,serial killer,mystery",4.13,"USA",TRUE,"None","Adult",TRUE,1997,"978-0446601245"
808,"The Bone Collector","Jeffery Deaver","Thriller","English",1997,"Viking","A quadriplegic criminologist tracks a serial killer in New York City.",528,"crime,forensics,mystery",4.19,"USA",TRUE,"Nero Award","Adult",TRUE,1999,"978-0451488855"
809,"Presumed Innocent","Scott Turow","Legal Thriller","English",1987,"Farrar, Straus & Giroux","A prosecutor is charged with the murder of his colleague and mistress.",421,"legal,courtroom,mystery",4.05,"USA",TRUE,"Silver Dagger","Adult",TRUE,1990,"978-0446359863"
810,"Defending Jacob","William Landay","Legal Thriller","English",2012,"Delacorte","An assistant DA's son is accused of murdering a classmate.",421,"legal,family,crime",4.04,"USA",TRUE,"Strand Critics Award","Adult",TRUE,2020,"978-0345533666"
811,"Mystic River","Dennis Lehane","Thriller","English",2001,"William Morrow","Three childhood friends are reunited by a tragedy in Boston.",401,"crime,boston,tragedy",4.18,"USA",TRUE,"Dilys Award","Adult",TRUE,2003,"978-0060584757"
812,"The Given Day","Dennis Lehane","Historical Fiction","English",2008,"William Morrow","A story of Boston at the end of WWI, involving strikes, radicals, and baseball.",702,"history,boston,epic",4.12,"USA",TRUE,"None","Adult",FALSE,,"978-0061584893"
813,"The Couple Next Door","Shari Lapena","Thriller","English",2016,"Pamela Dorman","A baby is kidnapped from her crib while her parents are at a dinner party next door.",308,"mystery,kidnap,twist",3.82,"Canada",TRUE,"None","Adult",FALSE,,"978-0735221086"
814,"Behind Closed Doors","B.A. Paris","Thriller","English",2016,"St. Martin's Press","A seemingly perfect marriage hides a terrifying secret of control and abuse.",293,"mystery,psychology,suspense",4.00,"UK",TRUE,"Goodreads Choice Nominee","Adult",FALSE,,"978-1250111326"
815,"The Last Thing He Told Me","Laura Dave","Thriller","English",2021,"Simon & Schuster","A woman searches for the truth about her husband after he disappears leaving a cryptic note.",303,"mystery,family,secrets",3.84,"USA",TRUE,"Goodreads Choice Award","Adult",TRUE,2023,"978-1501171345"
816,"Then She Was Gone","Lisa Jewell","Thriller","English",2017,"Century","A mother meets a man whose daughter looks exactly like her own missing child.",359,"mystery,missing person,twist",4.07,"UK",TRUE,"None","Adult",FALSE,,"978-1501154645"
817,"The Family Upstairs","Lisa Jewell","Thriller","English",2019,"Atria","A woman inherits a house in Chelsea and uncovers its dark history of cult-like occupants.",336,"mystery,dark,cult",3.99,"UK",TRUE,"None","Adult",FALSE,,"978-1501190100"
818,"Local Woman Missing","Mary Kubica","Thriller","English",2021,"Park Row","Secrets revealed when a missing girl returns home after 11 years.",352,"mystery,kidnap,twist",4.10,"USA",TRUE,"None","Adult",FALSE,,"978-0778389446"
819,"The Good Girl","Mary Kubica","Thriller","English",2014,"Mira","A kidnapping story told from multiple perspectives with a nonlinear timeline.",352,"mystery,kidnap,twist",3.97,"USA",TRUE,"None","Adult",FALSE,,"978-0778316558"
820,"The Silent Wife","A.S.A. Harrison","Thriller","English",2013,"Penguin Canada","A chilling portrait of a marriage heading towards murder.",326,"mystery,marriage,psychology",3.60,"Canada",TRUE,"None","Adult",FALSE,,"978-0143123231"
821,"Anatomy of a Scandal","Sarah Vaughan","Thriller","English",2018,"Simon & Schuster","A politician's marriage unravels when he is accused of a terrible crime.",392,"legal,politics,marriage",3.79,"UK",TRUE,"None","Adult",TRUE,2022,"978-1501172168"
822,"Apple Tree Yard","Louise Doughty","Thriller","English",2013,"Faber & Faber","A respected scientist has an affair that leads to a violent crime and a trial.",336,"crime,affair,courtroom",3.60,"UK",TRUE,"None","Adult",TRUE,2017,"978-0571297887"
823,"The Girl Before","JP Delaney","Thriller","English",2017,"Quercus","Two women, separated by time, live in the same minimalist house with strict rules.",341,"mystery,architecture,suspense",3.80,"UK",TRUE,"None","Adult",TRUE,2021,"978-0425285046"
824,"On Chesil Beach","Ian McEwan","Fiction","English",2007,"Jonathan Cape","A young couple's wedding night in 1962 is ruined by their fear of intimacy.",166,"romance,history,novella",3.44,"UK",TRUE,"Booker Prize Shortlist","Adult",TRUE,2017,"978-0307386175"
825,"Amsterdam","Ian McEwan","Fiction","English",1998,"Jonathan Cape","Two friends make a euthanasia pact that goes horribly wrong.",193,"satire,morality,tragedy",3.45,"UK",TRUE,"Booker Prize","Adult",FALSE,,"978-0385494243"
826,"The Children Act","Ian McEwan","Fiction","English",2014,"Jonathan Cape","A judge must decide whether to force a sick teenager to have a blood transfusion against his religion.",224,"law,ethics,religion",3.87,"UK",TRUE,"None","Adult",TRUE,2018,"978-0385539708"
827,"Beatrice and Virgil","Yann Martel","Fiction","English",2010,"Spiegel & Grau","An author encounters a taxidermist writing a play about a donkey and a monkey.",213,"allegory,holocaust,animals",3.14,"Canada",TRUE,"None","Adult",FALSE,,"978-1400069262"
828,"The Starless Sea","Erin Morgenstern","Fantasy","English",2019,"Doubleday","A student finds a book describing his own life and enters a hidden underground world.",498,"magic,books,mystery",3.91,"USA",TRUE,"Dragon Award Nominee","Adult",FALSE,,"978-0385541213"
829,"The Glass Hotel","Emily St. John Mandel","Fiction","English",2020,"Knopf","A novel about a Ponzi scheme and the mysterious disappearance of a woman at sea.",302,"mystery,fraud,ghosts",3.83,"Canada",TRUE,"None","Adult",FALSE,,"978-0525521143"
830,"Utopia Avenue","David Mitchell","Historical Fiction","English",2020,"Sceptre","The rise and fall of a psychedelic folk-rock band in late 1960s London.",574,"music,60s,band",4.11,"UK",TRUE,"None","Adult",FALSE,,"978-0812997439"
831,"Dandelion Wine","Ray Bradbury","Fiction","English",1957,"Doubleday","A semi-autobiographical novel about a magical summer in 1928 Illinois.",239,"summer,childhood,nostalgia",4.13,"USA",TRUE,"None","Adult",FALSE,,"978-0553277531"
832,"The Sirens of Titan","Kurt Vonnegut","Sci-Fi","English",1959,"Delacorte","A space odyssey involving a Martian invasion and the purpose of human history.",326,"satire,space,philosophy",4.16,"USA",TRUE,"Hugo Nominee","Adult",FALSE,,"978-0385333498"
833,"Mother Night","Kurt Vonnegut","Historical Fiction","English",1961,"Gold Medal Books","An American spy in Nazi Germany becomes a propaganda radio star.",282,"war,satire,spy",4.22,"USA",TRUE,"None","Adult",TRUE,1996,"978-0385334143"
834,"Player Piano","Kurt Vonnegut","Dystopian","English",1952,"Scribner","In a future where machines do all the work, an engineer rebels.",320,"dystopia,automation,satire",3.93,"USA",TRUE,"None","Adult",FALSE,,"978-0385333788"
835,"Galápagos","Kurt Vonnegut","Sci-Fi","English",1985,"Delacorte","The story of a small group of humans who survive the apocalypse and evolve into seal-like creatures.",324,"evolution,satire,apocalypse",3.89,"USA",TRUE,"None","Adult",FALSE,,"978-0385333870"
836,"God Bless You, Mr. Rosewater","Kurt Vonnegut","Satire","English",1965,"Holt, Rinehart and Winston","A millionaire philanthropist tries to do good in a world that thinks he's crazy.",275,"money,satire,humor",4.07,"USA",TRUE,"None","Adult",FALSE,,"978-0385333474"
837,"Chocolat","Joanne Harris","Magical Realism","English",1999,"Doubleday","A woman opens a chocolate shop in a repressed French village during Lent.",306,"food,france,romance",3.99,"UK",TRUE,"Whitbread Nominee","Adult",TRUE,2000,"978-0552998482"
838,"The Hundred-Foot Journey","Richard C. Morais","Fiction","English",2008,"Scribner","An Indian boy becomes a chef in France, sparking a rivalry with a local restaurant.",256,"food,france,india",3.84,"USA",TRUE,"None","Adult",TRUE,2014,"978-1439165652"
839,"Bastard Out of Carolina","Dorothy Allison","Fiction","English",1992,"Dutton","A young girl grows up in poverty and abuse in South Carolina.",309,"poverty,abuse,south",4.12,"USA",TRUE,"National Book Award Finalist","Adult",TRUE,1996,"978-0452269576"
840,"Practical Magic","Alice Hoffman","Magical Realism","English",1995,"Putnam","Two sisters from a family of witches try to escape their magical heritage.",286,"magic,sisters,romance",3.85,"USA",TRUE,"None","Adult",TRUE,1998,"978-0425190371"
841,"The Rules of Magic","Alice Hoffman","Fantasy","English",2017,"Simon & Schuster","The prequel to Practical Magic, set in 1960s New York.",369,"magic,prequel,history",4.10,"USA",TRUE,"None","Adult",FALSE,,"978-1501137488"
842,"The Dovekeepers","Alice Hoffman","Historical Fiction","English",2011,"Scribner","Four women's lives intersect during the siege of Masada in ancient Israel.",504,"history,women,tragedy",4.07,"USA",TRUE,"None","Adult",TRUE,2015,"978-1451617481"
843,"Frog Music","Emma Donoghue","Historical Fiction","English",2014,"Little, Brown","A burlesque dancer is murdered in 1876 San Francisco.",403,"crime,history,music",3.55,"Canada",TRUE,"None","Adult",FALSE,,"978-0316324687"
844,"The Wonder","Emma Donoghue","Historical Fiction","English",2016,"Little, Brown","A nurse is hired to watch a young girl in Ireland who claims to survive without food.",291,"history,ireland,mystery",3.76,"Canada",TRUE,"Giller Prize Shortlist","Adult",TRUE,2022,"978-0316393874"
845,"Before I Fall","Lauren Oliver","Young Adult","English",2010,"HarperCollins","A popular girl relives the day of her death over and over again.",470,"timeloop,school,redemption",3.91,"USA",TRUE,"None","Young Adult",TRUE,2017,"978-0061726804"
846,"Delirium","Lauren Oliver","Dystopian","English",2011,"HarperCollins","In a future where love is considered a disease, a girl falls in love just before her cure.",441,"dystopia,romance,love",3.96,"USA",TRUE,"Goodreads Choice Nominee","Young Adult",FALSE,,"978-0061726828"
847,"Uglies","Scott Westerfeld","Dystopian","English",2005,"Simon & Schuster","Teenagers undergo surgery at 16 to become 'Pretty' in a conformist society.",425,"dystopia,beauty,scifi",3.86,"USA",TRUE,"None","Young Adult",TRUE,2024,"978-0689865381"
848,"Pretties","Scott Westerfeld","Dystopian","English",2005,"Simon & Schuster","Tally Youngblood gets her wish to be Pretty, but something is wrong.",370,"dystopia,sequel,scifi",3.84,"USA",TRUE,"None","Young Adult",FALSE,,"978-0689865398"
849,"Specials","Scott Westerfeld","Dystopian","English",2006,"Simon & Schuster","Tally becomes a Special, an elite enforcer for the city.",372,"dystopia,action,finale",3.76,"USA",TRUE,"None","Young Adult",FALSE,,"978-0689865404"
850,"Leviathan","Scott Westerfeld","Steampunk","English",2009,"Simon & Schuster","An alternate WWI fought between Darwinist bio-machines and Clanker mechs.",440,"steampunk,war,history",4.18,"USA",TRUE,"Locus Award","Young Adult",FALSE,,"978-1416971733"
851,"We Were Liars","E. Lockhart","Young Adult","English",2014,"Delacorte","A group of friends spend their summers on a private island, hiding a dark secret.",242,"mystery,twist,summer",3.84,"USA",TRUE,"Goodreads Choice Award","Young Adult",FALSE,,"978-0385741262"
852,"One of Us Is Lying","Karen M. McManus","Mystery","English",2017,"Delacorte","Five students walk into detention, but only four walk out alive.",360,"mystery,high school,crime",4.03,"USA",TRUE,"Goodreads Choice Nominee","Young Adult",TRUE,2021,"978-1524714680"
853,"A Good Girl's Guide to Murder","Holly Jackson","Mystery","English",2019,"Electric Monkey","A high school senior investigates a closed murder case for her final project.",433,"mystery,crime,investigation",4.34,"UK",TRUE,"British Book Award","Young Adult",TRUE,2024,"978-1984896391"
854,"The Inheritance Games","Jennifer Lynn Barnes","Mystery","English",2020,"Little, Brown","A teenager inherits billions from a stranger but must live in his house of puzzles.",376,"mystery,puzzles,wealth",4.22,"USA",TRUE,"Goodreads Choice Nominee","Young Adult",FALSE,,"978-1368052405"
855,"Truly Devious","Maureen Johnson","Mystery","English",2018,"Katherine Tegen","A true-crime aficionado attends a boarding school with a famous unsolved kidnapping.",416,"mystery,boarding school,crime",4.04,"USA",TRUE,"None","Young Adult",FALSE,,"978-0062338051"
856,"Sadie","Courtney Summers","Thriller","English",2018,"Wednesday Books","A girl sets out to find her sister's killer while a podcast tracks her journey.",311,"mystery,podcast,revenge",4.11,"Canada",TRUE,"Edgar Award","Young Adult",FALSE,,"978-1250105714"
857,"Simon vs. the Homo Sapiens Agenda","Becky Albertalli","Romance","English",2015,"Balzer + Bray","A closeted gay teen is blackmailed with his emails.",303,"lgbt,romance,high school",4.23,"USA",TRUE,"William C. Morris Award","Young Adult",TRUE,2018,"978-0062348678"
858,"They Both Die at the End","Adam Silvera","Young Adult","English",2017,"HarperTeen","Two strangers meet on their last day on Earth via an app called Last Friend.",389,"lgbt,death,friendship",3.96,"USA",TRUE,"Goodreads Choice Nominee","Young Adult",FALSE,,"978-0062457790"
859,"Aristotle and Dante Discover the Secrets of the Universe","Benjamin Alire Sáenz","Young Adult","English",2012,"Simon & Schuster","Two Mexican-American boys form a deep bond in 1987 El Paso.",359,"lgbt,coming-of-age,friendship",4.32,"USA",TRUE,"Printz Honor","Young Adult",TRUE,2023,"978-1442408937"
860,"The Things They Carried","Tim O'Brien","War","English",1990,"Houghton Mifflin","A collection of linked short stories about a platoon of American soldiers in Vietnam.",233,"war,history,classic",4.13,"USA",TRUE,"National Book Award Finalist","Adult",FALSE,,"978-0618706419"
861,"Eleanor & Park","Rainbow Rowell","Romance","English",2013,"St. Martin's Press","Two misfits bond over music and comics on the school bus in 1986.",328,"romance,80s,teen",4.01,"USA",TRUE,"Printz Honor","Young Adult",FALSE,,"978-1250012579"
862,"Fangirl","Rainbow Rowell","Young Adult","English",2013,"St. Martin's Press","A fanfiction writer struggles with social anxiety and college life.",433,"fandom,college,romance",4.04,"USA",TRUE,"None","Young Adult",FALSE,,"978-1250030955"
863,"Carry On","Rainbow Rowell","Fantasy","English",2015,"St. Martin's Press","The 'Chosen One' and his vampire roommate navigate magic and romance.",522,"magic,lgbt,satire",4.16,"USA",TRUE,"None","Young Adult",FALSE,,"978-1250049551"
864,"Every Day","David Levithan","Fantasy","English",2012,"Knopf","A spirit wakes up in a different body every day but falls in love with the same girl.",322,"romance,body swap,philosophy",3.92,"USA",TRUE,"None","Young Adult",TRUE,2018,"978-0307931887"
865,"Everything, Everything","Nicola Yoon","Romance","English",2015,"Delacorte","A girl allergic to the world falls for the boy next door.",306,"romance,illness,twist",4.01,"USA",TRUE,"None","Young Adult",TRUE,2017,"978-0553496642"
866,"The Sun Is Also a Star","Nicola Yoon","Romance","English",2016,"Delacorte","Two teens fall in love over the course of a single day in New York City.",384,"romance,fate,immigration",4.03,"USA",TRUE,"National Book Award Finalist","Young Adult",TRUE,2019,"978-0553496680"
867,"Speak","Laurie Halse Anderson","Young Adult","English",1999,"Farrar, Straus & Giroux","A freshman becomes a social outcast after calling the police on a party, hiding a trauma.",197,"trauma,school,classic",4.04,"USA",TRUE,"National Book Award Finalist","Young Adult",TRUE,2004,"978-0312674397"
868,"The House on Mango Street","Sandra Cisneros","Fiction","English",1984,"Arte Público","A young Latina girl grows up in Chicago and dreams of a better life.",110,"classic,coming-of-age,latino",3.67,"USA",TRUE,"American Book Award","Young Adult",FALSE,,"978-0679734772"
